UF_CRM_1693553642	DEAL	string	—
UF_CRM_1693553670	DEAL	string	—
UF_CRM_1693656913	DEAL	string	—
UF_CRM_1693656976	DEAL	string	—
UF_CRM_1693657017	DEAL	string	—
UF_CRM_1694352376	DEAL	string	—
UF_CRM_1694352398	DEAL	string	—
UF_CRM_1695363057	DEAL	string	—
UF_CRM_1695980864	DEAL	string	—
UF_CRM_1695982032	DEAL	string	—
UF_CRM_1695982033	DEAL	string	—
UF_CRM_1696414290326	DEAL	string	—
UF_CRM_1696566768473	DEAL	string	—
UF_CRM_1696568305521	DEAL	string	—
UF_CRM_1696847562	DEAL	boolean	Есть завышение
UF_CRM_1697015111	DEAL	string	—
UF_CRM_1697018686	DEAL	string	—
UF_CRM_1697020510	DEAL	string	—
UF_CRM_1697195546	DEAL	enumeration	ГП (генплан)
UF_CRM_1697195546_PRINTABLE	DEAL	enumeration	ГП (генплан)
UF_CRM_1699343028	DEAL	string	—
UF_CRM_1699449054	DEAL	string	—
UF_CRM_1700215388994	DEAL	string	—
UF_CRM_1700215460776	DEAL	string	—
UF_CRM_1700217998116	DEAL	string	—
UF_CRM_1700457910	DEAL	string	—
UF_CRM_1700471607414	DEAL	string	—
UF_CRM_1702277580	DEAL	string	—
UF_CRM_1702537697	DEAL	string	—
UF_CRM_1702537731	DEAL	string	—
UF_CRM_1703505805	DEAL	string	—
UF_CRM_1704975890651	DEAL	string	—
UF_CRM_1705491161999	DEAL	string	—
UF_CRM_1706265688	DEAL	string	—
UF_CRM_1706524400	DEAL	string	—
UF_CRM_1706526939978	DEAL	string	—
UF_CRM_1707196553249	DEAL	string	—
UF_CRM_1707196677821	DEAL	string	—
UF_CRM_1707211888	DEAL	string	—
UF_CRM_1707211971	DEAL	string	—
UF_CRM_1707287114	DEAL	string	—
UF_CRM_1708940135	DEAL	string	—
UF_CRM_1709102252	DEAL	string	—
UF_CRM_1710230664	DEAL	string	—
UF_CRM_1710412968	DEAL	string	—
UF_CRM_1710494587	DEAL	string	—
UF_CRM_1710495594	DEAL	string	—
UF_CRM_1710995148	DEAL	string	—
UF_CRM_1710997656	DEAL	string	—
